dg_id,player_name,event_name,event_id,fin_text,fin_num,early_out,close_odds,year,year_event_id,year_event_golfer,event_completed,rounds,mean_score,mean_sg,total_sg,major,won_major,top_10,early_out_in_prev_2_events,early_out_in_prev_5_events,fin_num_in_prev_2_events,fin_num_in_prev_5_events,mean_sg_in_prev_2_events,mean_sg_in_prev_5_events,won_major_in_prev_50_events,top_10_in_prev_10_events,top_10_in_prev_20_events
11955,"Frittelli, Dylan",3M Open,525,T46,46,0,141.0,2019,2019_525,2019_525_11955,2019-07-07,4,68.5,0.7475,2.99,0,0,0,1.0,2.0,60.5,65.8,-0.08924999999999991,-0.1979999999999999,0.0,0.0,0.0
10943,"Lashley, Nate",3M Open,525,CUT,75,1,71.0,2019,2019_525,2019_525_10943,2019-07-07,2,71.0,-1.133,-2.266,0,0,0,1.0,1.0,51.5,49.2,-0.025125000000000286,0.08469999999999978,0.0,0.0,0.0
16842,"Luck, Curtis",3M Open,525,T58,58,0,301.0,2019,2019_525,2019_525_16842,2019-07-07,4,69.25,-0.0025000000000000577,-0.010000000000000231,0,0,0,2.0,4.0,75.0,68.6,-0.6775000000000003,-0.9448000000000001,0.0,0.0,0.0
17538,"Homa, Max",3M Open,525,MDF,75,1,141.0,2019,2019_525,2019_525_17538,2019-07-07,3,70.0,-0.46900000000000003,-1.407,0,0,0,1.0,1.0,58.5,49.0,0.2857500000000001,0.4158000000000001,0.0,1.0,2.0
16715,"Ryder, Sam",3M Open,525,T34,34,0,201.0,2019,2019_525,2019_525_16715,2019-07-07,4,68.0,1.2475,4.99,0,0,0,1.0,2.0,63.0,60.0,0.2530000000000001,0.11339999999999999,0.0,0.0,0.0
26190,"Ortiz, Alvaro",3M Open,525,CUT,75,1,1001.0,2019,2019_525,2019_525_26190,2019-07-07,2,70.5,-0.633,-1.266,0,0,0,2.0,3.0,75.0,52.2,-1.2437500000000004,-0.8257000000000001,0.0,0.0,0.0
9643,"Blaum, Ryan",3M Open,525,MDF,75,1,251.0,2019,2019_525,2019_525_9643,2019-07-07,3,69.66666666666667,-0.13566666666666669,-0.40700000000000003,0,0,0,1.0,3.0,55.5,61.2,0.2529999999999999,-0.31875,0.0,0.0,0.0
8769,"Potter, Jr., Ted",3M Open,525,CUT,75,1,176.0,2019,2019_525,2019_525_8769,2019-07-07,2,74.0,-4.133,-8.266,0,0,0,0.0,1.0,39.0,55.6,-0.30349999999999955,-0.69535,0.0,1.0,1.0
17564,"Bozzelli, Dominic",3M Open,525,CUT,75,1,301.0,2019,2019_525,2019_525_17564,2019-07-07,2,72.0,-2.133,-4.266,0,0,0,0.0,2.0,63.5,69.4,-0.6952499999999997,-0.673,0.0,0.0,0.0
11702,"Kim, Whee",3M Open,525,CUT,75,1,751.0,2019,2019_525,2019_525_11702,2019-07-07,2,74.0,-4.133,-8.266,0,0,0,2.0,5.0,75.0,75.0,-2.9274999999999998,-2.0536000000000008,0.0,0.0,0.0
8085,"Teater, Josh",3M Open,525,CUT,75,1,226.0,2019,2019_525,2019_525_8085,2019-07-07,2,70.5,-0.633,-1.266,0,0,0,0.0,1.0,35.5,45.2,0.84125,0.37830000000000014,0.0,0.0,0.0
11357,"Uihlein, Peter",3M Open,525,CUT,75,1,151.0,2019,2019_525,2019_525_11357,2019-07-07,2,70.0,-0.133,-0.266,0,0,0,2.0,3.0,75.0,56.4,-1.677500000000001,-0.5708999999999996,0.0,1.0,1.0
8480,"Streelman, Kevin",3M Open,525,T34,34,0,41.0,2019,2019_525,2019_525_8480,2019-07-07,4,68.0,1.2475,4.99,0,0,0,0.0,0.0,25.0,26.0,1.3412499999999996,1.42995,0.0,3.0,4.0
15660,"Mauchaza, Nyasha",3M Open,525,CUT,75,1,1501.0,2019,2019_525,2019_525_15660,2019-07-07,2,71.0,-1.133,-2.266,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3846,"Jacobson, Freddie",3M Open,525,CUT,75,1,351.0,2019,2019_525,2019_525_3846,2019-07-07,2,72.0,-2.133,-4.266,0,0,0,1.0,4.0,52.5,66.0,-0.12200000000000008,-1.4631,0.0,0.0,0.0
15470,"Hossler, Beau",3M Open,525,T34,34,0,151.0,2019,2019_525,2019_525_15470,2019-07-07,4,68.0,1.2475,4.99,0,0,0,2.0,3.0,75.0,60.2,-0.45133333333333314,-0.3597333333333335,0.0,0.0,0.0
11676,"Finau, Tony",3M Open,525,T23,23,0,29.0,2019,2019_525,2019_525_11676,2019-07-07,4,67.75,1.4975,5.99,0,0,0,2.0,3.0,77.0,59.0,-0.9437499999999996,-0.45669999999999955,0.0,2.0,2.0
8825,"Harman, Brian",3M Open,525,T7,7,0,76.0,2019,2019_525,2019_525_8825,2019-07-07,4,67.0,2.2475,8.99,0,0,1,1.0,1.0,41.5,38.2,1.2530000000000006,0.8820000000000003,0.0,1.0,2.0
15852,"Kraft, Kelly",3M Open,525,CUT,75,1,351.0,2019,2019_525,2019_525_15852,2019-07-07,2,70.0,-0.133,-0.266,0,0,0,2.0,3.0,75.0,68.8,-1.6775000000000002,-1.6611,0.0,1.0,2.0
11451,"Garnett, Brice",3M Open,525,T23,23,0,226.0,2019,2019_525,2019_525_11451,2019-07-07,4,67.75,1.4975,5.99,0,0,0,1.0,3.0,46.0,56.4,0.7857500000000004,-0.0939000000000002,0.0,0.0,0.0
10486,"Claxton, Will",3M Open,525,CUT,75,1,1501.0,2019,2019_525,2019_525_10486,2019-07-07,2,76.5,-6.633000000000001,-13.266000000000002,0,0,0,2.0,3.0,75.0,56.25,-1.9292499999999997,-1.9994999999999998,0.0,0.0,0.0
25919,"Wolff, Matthew",3M Open,525,1,1,0,126.0,2019,2019_525,2019_525_25919,2019-07-07,4,65.75,3.4975,13.99,0,0,1,2.0,2.0,75.0,50.0,-1.1179999999999999,-0.7453333333333333,0.0,0.0,0.0
9913,"Van Aswegen, Tyrone",3M Open,525,T53,53,0,351.0,2019,2019_525,2019_525_9913,2019-07-07,4,68.75,0.49749999999999994,1.9899999999999998,0,0,0,1.0,3.0,52.0,59.6,-0.09649999999999997,-0.0851,0.0,0.0,0.0
15394,"Diaz, Roberto",3M Open,525,MDF,75,1,176.0,2019,2019_525,2019_525_15394,2019-07-07,3,70.0,-0.46900000000000003,-1.407,0,0,0,1.0,2.0,41.5,39.5,0.2530000000000001,-0.0033749999999999614,0.0,1.0,1.0
